"domain","mean","sd","min","max"
"Bacteria","99.921%","0.06%","99.687%","99.985%"
"Eukaryota","0.056%","0.039%","0.003%","0.173%"
"Viruses","0.023%","0.052%","<0.001%","0.299%"
"Archaea","<0.001%","<0.001%","<0.001%","<0.001%"
